"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1923",283848,"Hanamagari","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.408,138.649,1757,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",37.2258605957031,-98.3980865478516,247.865280151367,138.649,36.408,TRUE
"1924",283849,"Azumayasan","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.541,138.412,2323,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",36.0350303649902,-115.047515869141,241.149368286133,138.412,36.541,TRUE
"1925",283850,"Omeshi-dake","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.626,138.461,2160,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",34.2394104003906,-120.298851013184,239.736358642578,138.461,36.626,TRUE
"1926",283851,"Takayashiro","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.796,138.407,1351,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",32.2592926025391,-132.648773193359,236.536010742188,138.407,36.796,TRUE
"1927",283852,"Sekita","Japan","Stratovolcano?",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.974,138.386,1289,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",30.8064308166504,-142.546569824219,235.513702392578,138.386,36.974,TRUE
"1928",283853,"Kenashi","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.895,138.489,1650,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",31.3758697509766,-135.836151123047,236.324951171875,138.489,36.895,TRUE
"1929",283854,"Torikabuto","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.836,138.587,2038,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",31.6927433013916,-129.040283203125,237.785705566406,138.587,36.836,TRUE
"1930",283855,"Naeba","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.843,138.694,2145,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",31.268798828125,-126.67073059082,238.921783447266,138.694,36.843,TRUE
"1931",283856,"Iiji","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.953,138.836,1112,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,138.836,36.953,TRUE
"1932",283857,"Masugata","Japan","Pyroclastic cone",NA,NA,"Japan, Taiwan, Marianas","Honshu",37.075,138.833,749,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,138.833,37.075,TRUE
"1933",283858,"Komochi-Onoko","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.589,139.001,1296,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",32.4714202880859,-102.726303100586,244.20573425293,139.001,36.589,TRUE
"1934",283859,"Sukai-Kesemaru","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.687,139.34,2144,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.34,36.687,TRUE
"1935",283860,"Numanokami","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.772,139.279,1541,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.279,36.772,TRUE
"1936",283861,"Hotaka","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.802,139.136,2158,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.136,36.802,TRUE
"1937",283862,"Ayame-daira","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.895,139.243,1969,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.243,36.895,TRUE
"1938",283863,"Kinunuma-Nenakusa","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.88,139.375,2141,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.375,36.88,TRUE
"1939",283864,"Nyoho-Akanagi","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",36.808,139.54,2483,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.54,36.808,TRUE
"1940",283865,"Futamata","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",37.243,139.97,1544,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.97,37.243,TRUE
"1941",283866,"Aizu Nunobiki","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",37.321,140.018,1108,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,140.018,37.321,TRUE
"1942",283867,"Asakusa","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Honshu",37.341,139.237,1585,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,139.237,37.341,TRUE
